term,SS,df,F,R²,p_condition,F_obs
hup_id,6641.41927881497,38.0,29.95236734164189,0.07226474667930653,,
stim_ch,3895.9488319542643,456.0,1.464206239409873,0.042391504525964865,,
recording_ch,19597.28383084933,463.0,7.253852879209413,0.21323646229597604,,
condition,331.8849751874077,1.0,56.87762365800061,0.0036112136053643865,0.0,56.87762365800061
Residual,61437.46308319403,10529.0,,0.6684960728933909,,
Total,91903.99999999975,11487.0,,1.0,,
